id,X,Y,label
234,3959,2573,Malignant
235,4196,2571,Macrophage
236,3177,2575,Endothelial
237,3219,2587,Endothelial
238,31,2558,Malignant
239,2759,2562,CAF
240,3086,2551,Pericyte
241,3867,2559,Malignant
242,3492,2534,Malignant
243,1108,2546,B
244,3697,2544,Malignant
245,4029,2534,Malignant
246,4124,2542,Malignant
247,2683,2548,Macrophage
248,1592,2545,B
249,2449,2518,Malignant
250,2536,2550,Malignant
251,2605,2550,Macrophage
252,3152,2536,Smooth muscle
253,3206,2539,CAF
254,1224,2520,Pericyte
255,1273,2515,Pericyte
256,1665,2527,CD8+ T
257,2542,2525,Malignant
258,28,2518,Malignant
259,3251,2521,Macrophage
260,230,2502,Endothelial
261,683,2503,Dendritic (activated)
262,3771,2520,Malignant
263,3109,2501,Endothelial
264,2852,2530,Malignant
265,2609,2507,Macrophage
266,3648,2492,Malignant
267,3365,2492,Malignant
268,4145,2479,Malignant
269,4567,2469,Endothelial
270,29,2485,Malignant
271,2876,2465,Malignant
272,2919,2502,Macrophage
273,4052,2486,Malignant
274,3188,2485,CAF
275,3941,2478,Malignant
276,4248,2478,CAF
277,3727,2469,Malignant
278,3763,2453,Malignant
279,3812,2465,Malignant
280,4079,2466,Malignant
281,3553,2466,Malignant
282,2259,2460,CAF
283,3911,2465,Malignant
284,2615,2454,Plasma
285,3627,2451,Malignant
286,3173,2431,Pericyte
287,1676,2455,Dendritic (plasmacytoid)
288,36,2442,Malignant
289,1931,2448,Macrophage
290,3263,2446,CAF
291,2527,2428,Dendritic (activated)
292,2434,2429,Macrophage
293,3841,2435,Malignant
294,3132,2418,Dendritic (activated)
295,4117,2396,Malignant
296,1387,2415,Endothelial
297,3772,2409,Treg
298,1765,2404,Macrophage
299,3463,2396,Malignant
300,1814,2416,Plasma
301,3597,2371,Malignant
302,3923,2394,Macrophage
303,1599,2418,Macrophage
304,3226,2384,Endothelial
305,2864,2398,CAF
306,1669,2409,CAF
307,1095,2381,Macrophage
308,1546,2404,Macrophage
309,3520,2376,Malignant
310,4011,2379,Malignant
311,1830,2387,Endothelial
312,387,2396,Macrophage
313,3809,2375,Malignant
314,4968,2392,Macrophage
315,4283,2376,Plasma
316,2014,2368,Plasma
317,3960,2345,Malignant
318,1535,2362,Macrophage
319,2828,2354,CAF
320,1727,2369,CAF
321,3617,2333,Malignant
322,5149,2340,CAF
323,4859,2334,CAF
324,1396,2334,Macrophage
325,1589,2330,Macrophage
326,1867,2324,Malignant
327,2078,2333,Macrophage
328,3882,2341,CAF
329,273,2333,Plasma
330,1659,2314,Macrophage
331,3747,2326,Malignant
332,4193,2333,CAF
333,4388,2328,CAF
334,1928,2306,Macrophage
335,2582,2299,Endothelial
336,1526,2283,Treg
337,3929,2316,Endothelial
338,2045,2299,Pericyte
339,3852,2316,CAF
340,4241,2308,Plasma
341,1780,2301,Macrophage
342,1028,2291,Plasma
343,3784,2292,Macrophage
344,612,2298,B
345,3905,2289,CAF
346,4945,2288,Macrophage
347,1624,2285,Macrophage
348,3201,2267,CAF
349,3521,2292,Malignant
350,3707,2281,Malignant
351,2915,2289,CAF
352,4133,2275,Macrophage
353,3859,2265,Treg
354,3809,2267,Macrophage
355,1388,2263,Treg
356,2408,2271,Macrophage
357,1748,2253,Treg
358,2086,2245,Malignant
359,50,2261,Mast
360,3937,2260,CAF
361,2835,2255,Macrophage
362,3562,2236,Malignant
363,2875,2247,CAF
364,2928,2224,Treg
365,3132,2244,Macrophage
366,3502,2244,Malignant
367,1208,2236,CAF
368,3629,2216,Malignant
369,1860,2195,Malignant
370,2630,2223,CAF
371,4038,2224,Macrophage
372,3710,2204,Malignant
373,4077,2207,Plasma
374,3528,2187,Malignant
375,3793,2188,CD8+ T
376,1985,2195,Endothelial
377,3097,2184,CAF
378,3296,2190,Malignant
379,1496,2182,Macrophage
380,2384,2176,Macrophage
381,3185,2173,Plasma
382,2741,2176,Macrophage
383,2892,2179,Macrophage
384,1620,2178,CAF
385,3251,2177,Macrophage
386,3350,2162,Malignant
387,2467,2157,CAF
388,1840,2148,CAF
389,116,2143,Macrophage
390,3987,2160,Plasma
391,3704,2155,Macrophage
392,1688,2133,CAF
393,2726,2124,Macrophage
394,2014,2122,Malignant
395,1636,2123,Macrophage
396,1496,2112,Macrophage
397,4305,2116,B
398,140,2106,Plasma
399,2793,2112,Malignant
400,1725,2094,CAF
401,1812,2090,Endothelial
