id,X,Y,label
250,3862,2698,CAF
251,2846,2676,Malignant
252,2650,2616,Endothelial
253,334,2640,CAF
254,1244,2621,Pericyte
255,1145,2610,Malignant
256,3345,2624,CAF
257,3736,2602,Schwann/nerve
258,3403,2607,Macrophage
259,2747,2591,CAF
260,397,2584,CAF
261,4371,2563,CAF
262,1856,2577,CAF
263,2031,2573,Macrophage
264,1538,2564,CAF
265,3184,2546,CAF
266,2672,2516,CAF
267,5344,2518,CAF
268,1755,2508,CAF
269,1666,2522,Malignant
270,2162,2499,Plasma
271,3084,2483,CAF
272,1584,2470,Macrophage
273,1419,2457,CAF
274,3718,2470,CAF
275,2665,2456,Macrophage
276,1825,2455,CAF
277,4836,2410,CAF
278,120,2422,Pericyte
279,2920,2381,Malignant
280,2978,2380,Malignant
281,1697,2386,Mast
282,70,2378,Plasma
283,3542,2350,CAF
284,2682,2354,Macrophage
285,1104,2346,Malignant
286,2542,2340,Plasma
287,3191,2324,CAF
288,1105,2302,Malignant
289,253,2302,Smooth muscle
290,2932,2311,Malignant
291,3117,2311,CAF
292,2968,2298,Malignant
293,1727,2289,CAF
294,3210,2305,CAF
295,2215,2286,CAF
296,3246,2285,CAF
297,2984,2263,Malignant
298,4961,2232,Natural killer
299,2017,2231,CAF
300,4058,2216,Malignant
301,3690,2211,CAF
302,2336,2207,Macrophage
303,1095,2198,Endothelial
304,1975,2205,CAF
305,3594,2191,CAF
306,2372,2175,Schwann/nerve
307,3487,2155,Smooth muscle
308,5189,2150,Mast
309,2772,2136,Pericyte
310,2330,2129,Pericyte
311,3018,2138,Malignant
312,3112,2115,Smooth muscle
313,1377,2073,CAF
314,2760,2089,Plasma
315,1184,2097,Macrophage
316,3031,2090,Malignant
317,4248,2096,CAF
318,3219,2057,Mast
319,3130,2053,CAF
320,2651,2068,Plasma
321,2407,2050,CAF
322,5378,2054,Macrophage
323,2066,2048,Dendritic (activated)
324,2890,2047,Malignant
325,1448,2024,Macrophage
326,1666,2031,Smooth muscle
327,2580,2034,Plasma
328,62,2040,CAF
329,1339,2008,Pericyte
330,44,2010,CAF
331,1509,2008,Macrophage
332,3098,1990,CAF
333,2312,1985,Macrophage
334,2230,1970,Neutrophil
335,764,1965,Macrophage
336,2419,1946,Dendritic (activated)
337,3062,1945,Mast
338,1490,1925,Malignant
339,1538,1941,Plasma
340,114,1927,CAF
341,1720,1923,Pericyte
342,140,1918,CAF
343,348,1913,CAF
344,1528,1904,Plasma
345,2139,1892,CAF
346,1311,1883,CAF
347,729,1860,Malignant
348,589,1871,CAF
349,139,1867,CAF
350,228,1867,Plasma
351,3370,1861,CAF
352,2687,1848,Endothelial
353,3635,1849,CAF
354,1990,1851,CAF
355,2770,1829,Plasma
356,3592,1836,Plasma
357,1041,1840,Macrophage
358,1070,1831,Macrophage
359,1231,1801,CAF
360,3408,1806,CAF
361,3132,1798,CAF
362,1108,1783,CAF
363,2191,1789,CAF
364,2961,1790,Mast
365,2432,1768,CAF
366,3155,1765,Endothelial
367,2846,1738,CAF
368,205,1744,Plasma
369,2073,1722,Mast
370,2663,1723,Endothelial
371,2976,1703,Malignant
372,1302,1702,CAF
373,2401,1703,CAF
374,1962,1699,Plasma
375,3390,1688,CAF
376,205,1682,Macrophage
377,2223,1680,CAF
378,895,1675,Malignant
379,3055,1645,CAF
380,2809,1635,CAF
381,987,1614,CAF
382,3494,1600,CAF
383,1723,1602,CAF
384,1590,1594,Natural killer
385,2630,1555,Endothelial
386,2130,1570,CAF
387,1500,1571,Smooth muscle
388,168,1552,Macrophage
389,4899,1546,Dendritic (plasmacytoid)
390,652,1538,CAF
391,3476,1504,CAF
392,2460,1514,CAF
393,32,1501,Macrophage
394,1985,1506,CAF
395,3420,1494,CAF
396,2970,1493,CAF
397,2160,1488,CAF
398,2380,1489,CAF
399,1115,1466,CAF
400,3325,1471,Pericyte
401,2544,1484,CAF
402,547,1467,CAF
