"gene","p_val","avg_log2FC","pct.1","pct.2","p_adj"
"B2M",0.0211617889762751,-0.658689094818837,0.125874125874126,0.255813953488372,0.622977834788192
"CCL11",0.0169219970369712,1.8521673373372,0.0909090909090909,0.0116279069767442,0.622977834788192
"CCL8",0.0309475836460851,-1.69216811552967,0.034965034965035,0.104651162790698,0.622977834788192
"CD19",0.00510104972098119,2.75888763187697,0.111888111888112,0.0116279069767442,0.622977834788192
"CD3G",0.0309592986031529,2.44359146650125,0.0769230769230769,0.0116279069767442,0.622977834788192
"CD8A",0.025031321336233,1.59365791026494,0.104895104895105,0.0232558139534884,0.622977834788192
"CDH1",0.0353512704591498,-1.09790953416023,0.041958041958042,0.116279069767442,0.622977834788192
"CDKN1A",0.0283145867389668,0.691171285281917,0.258741258741259,0.127906976744186,0.622977834788192
"CLCF1",0.0309592986031529,2.58649467924044,0.0769230769230769,0.0116279069767442,0.622977834788192
"COL4A2",0.0103276850311271,-0.686418152696604,0.328671328671329,0.511627906976744,0.622977834788192
"COL6A2",0.02799186231561,0.787727129997689,0.34965034965035,0.22093023255814,0.622977834788192
"CXCL10",0.0317987683452305,2.15799220013029,0.0769230769230769,0.0116279069767442,0.622977834788192
"FGFR2",0.0346641418936371,1.67009399411494,0.0769230769230769,0.0116279069767442,0.622977834788192
"FZD1",0.017497206218383,1.5638197548145,0.146853146853147,0.0465116279069767,0.622977834788192
"FZD4",0.0356212994495051,2.381487760182,0.111888111888112,0.0348837209302326,0.622977834788192
"GPX1",0.00799118539109977,1.65582427418282,0.195804195804196,0.0697674418604651,0.622977834788192
"HLA-A",0.0207084438217896,-0.901912110106291,0.321678321678322,0.453488372093023,0.622977834788192
"ICAM3",0.0329841700257594,2.0936430516636,0.0979020979020979,0.0232558139534884,0.622977834788192
"IGHA1",0.0371600813733307,2.05012554149621,0.111888111888112,0.0348837209302326,0.622977834788192
"IL16",0.00374974970541492,-1.54054456468527,0.0559440559440559,0.174418604651163,0.622977834788192
"IL1RAP",0.024472570112368,0.849815308439585,0.0839160839160839,0.0116279069767442,0.622977834788192
"IL34",0.00595032770582488,-2.33350511442928,0.027972027972028,0.116279069767442,0.622977834788192
"ITGAM",0.0330952764854104,-1.16386882230661,0.027972027972028,0.0930232558139535,0.622977834788192
"KRT5",0.0343065642879227,-1.01209968756616,0.048951048951049,0.127906976744186,0.622977834788192
"KRT6A",0.0365520519620212,-1.30331975677107,0.0769230769230769,0.162790697674419,0.622977834788192
"LGALS3BP",0.0313758781808141,0.952028044594115,0.13986013986014,0.0465116279069767,0.622977834788192
"NRXN1",0.0296223203585457,-1.84303110252618,0.034965034965035,0.104651162790698,0.622977834788192
"PDGFRB",0.0233170385843003,1.19142759088654,0.223776223776224,0.104651162790698,0.622977834788192
"PTGS2",0.0233227229226443,1.84563013869879,0.104895104895105,0.0232558139534884,0.622977834788192
"RXRB",0.0245625610329489,-1.52218059753379,0.0559440559440559,0.13953488372093,0.622977834788192
"SEC23A",0.0293878737325263,-1.42618575168214,0.048951048951049,0.127906976744186,0.622977834788192
"SMAD3",0.0166913881722078,-1.48547893105166,0.027972027972028,0.104651162790698,0.622977834788192
"STAT5A",0.0180967823186106,1.46479709689579,0.111888111888112,0.0232558139534884,0.622977834788192
"VIM",0.0136303172081573,-0.928048006006196,0.181818181818182,0.313953488372093,0.622977834788192
"COL9A3",0.0383643896791207,-1.17276275909755,0.034965034965035,0.104651162790698,0.624791489059966
"CXCL1",0.0434254369086813,1.86802969500741,0.0909090909090909,0.0232558139534884,0.687569417720788
"TNFSF4",0.0481135838690942,1.43958298026855,0.0909090909090909,0.0232558139534884,0.741209265010371
"LDLR",0.0508031287132646,1.99659773696925,0.104895104895105,0.0348837209302326,0.762046930698969
"CD83",0.0531994492298939,-1.43093064079341,0.0559440559440559,0.127906976744186,0.777530411821527
"COL1A2",0.062377335603292,-0.349776143195319,0.636363636363636,0.755813953488372,0.77900830690654
"CSF2RB",0.0574107714698585,1.06117932880885,0.104895104895105,0.0348837209302326,0.77900830690654
"CSF3",0.055977679059529,1.43740032058413,0.104895104895105,0.0348837209302326,0.77900830690654
"CXCR5",0.059434932499649,-1.68467544685521,0.034965034965035,0.0930232558139535,0.77900830690654
"ITGA5",0.0606393564085655,-0.985080264134735,0.048951048951049,0.116279069767442,0.77900830690654
"MALAT1",0.0606682456072286,0.59726754402266,0.251748251748252,0.13953488372093,0.77900830690654
"TGFBR2",0.0628673370485979,1.90242620987606,0.0839160839160839,0.0232558139534884,0.77900830690654
"PDGFC",0.0656279584495251,0.946595929214645,0.167832167832168,0.0813953488372093,0.795913538643176
"TUBB4B",0.0672678752672862,-0.840035195454841,0.041958041958042,0.104651162790698,0.798806018799024
"ABL2",0.0806433787374456,1.13675366762145,0.0979020979020979,0.0348837209302326,0.815579325349802
"ARG1",0.0925523865801436,1.27116318686988,0.0769230769230769,0.0232558139534884,0.815579325349802
"BST2",0.141667795412112,0.991125445127163,0.146853146853147,0.0813953488372093,0.815579325349802
"CAV1",0.100941917676055,-1.07670966503695,0.0909090909090909,0.162790697674419,0.815579325349802
"CCL19",0.155131607492638,1.07131717613642,0.0839160839160839,0.0348837209302326,0.815579325349802
"CCL20",0.114981680054731,-1.85159099509294,0.034965034965035,0.0813953488372093,0.815579325349802
"CCND1",0.147544196894899,0.867491396887709,0.118881118881119,0.0581395348837209,0.815579325349802
"CCR10",0.162345047576208,-0.572145331837382,0.0629370629370629,0.116279069767442,0.815579325349802
