triangle_index,vertex_ids,vertex_labels
131,"1318,1336,619","CAF,CAF,Malignant"
132,"1319,1351,1361","CAF,CAF,Malignant"
133,"1326,638,587","CAF,CAF,Malignant"
134,"1326,1303,574","CAF,CAF,Malignant"
135,"1326,1303,611","CAF,CAF,Malignant"
136,"1326,1329,611","CAF,CAF,Malignant"
137,"1328,607,587","CAF,CAF,Malignant"
138,"1328,638,587","CAF,CAF,Malignant"
139,"1328,1339,668","CAF,CAF,Malignant"
140,"1329,638,653","CAF,CAF,Malignant"
141,"1329,1326,611","CAF,CAF,Malignant"
142,"1333,644,594","CAF,CAF,Malignant"
143,"1333,1304,594","CAF,CAF,Malignant"
144,"1336,649,619","CAF,CAF,Malignant"
145,"1336,1318,619","CAF,CAF,Malignant"
146,"1339,1328,668","CAF,CAF,Malignant"
147,"1339,1367,668","CAF,CAF,Malignant"
148,"1340,649,619","CAF,CAF,Malignant"
149,"1340,1298,619","CAF,CAF,Malignant"
150,"1343,1345,1369","CAF,CAF,Malignant"
151,"1343,1377,1372","CAF,CAF,Malignant"
152,"1345,1343,1369","CAF,CAF,Malignant"
153,"1351,1319,1361","CAF,CAF,Malignant"
154,"1352,1317,640","CAF,CAF,Malignant"
155,"1352,1368,640","CAF,CAF,Malignant"
156,"1354,638,653","CAF,CAF,Malignant"
157,"1367,1339,668","CAF,CAF,Malignant"
158,"1367,1376,682","CAF,CAF,Malignant"
159,"1368,1352,640","CAF,CAF,Malignant"
160,"1376,708,691","CAF,CAF,Malignant"
161,"1376,1367,682","CAF,CAF,Malignant"
162,"1377,1343,1372","CAF,CAF,Malignant"
163,"1377,1422,701","CAF,CAF,Malignant"
164,"1380,1384,694","CAF,CAF,Malignant"
165,"1380,1401,698","CAF,CAF,Malignant"
166,"1383,722,692","CAF,CAF,Malignant"
167,"1384,1380,694","CAF,CAF,Malignant"
168,"1384,1389,690","CAF,CAF,Malignant"
169,"1388,708,691","CAF,CAF,Malignant"
170,"1389,1384,690","CAF,CAF,Malignant"
171,"1401,1380,698","CAF,CAF,Malignant"
172,"1422,1377,701","CAF,CAF,Malignant"
173,"1426,749,753","CAF,CAF,Malignant"
174,"1440,749,750","CAF,CAF,Malignant"
175,"1458,756,772","CAF,CAF,Malignant"
176,"1472,756,772","CAF,CAF,Malignant"
177,"1502,1514,822","CAF,CAF,Malignant"
178,"1514,1502,822","CAF,CAF,Malignant"
179,"1518,1529,817","CAF,CAF,Malignant"
180,"1518,1529,840","CAF,CAF,Malignant"
181,"1522,835,821","CAF,CAF,Malignant"
182,"1529,1518,817","CAF,CAF,Malignant"
183,"1529,1518,840","CAF,CAF,Malignant"
184,"1554,1562,850","CAF,CAF,Malignant"
185,"1562,859,847","CAF,CAF,Malignant"
186,"1562,859,861","CAF,CAF,Malignant"
187,"1562,1554,850","CAF,CAF,Malignant"
