"gene","p_val","avg_log2FC","pct.1","pct.2","p_adj"
"COL1A1",2.63163418994864e-09,-1.51362820501184,0.615942028985507,0.884057971014493,2.40005038123316e-06
"FN1",0.000423333621427212,-0.751787963716798,0.195652173913043,0.405797101449275,0.128693420913872
"TNFRSF10A",0.000283097872402738,-0.975312070306818,0.22463768115942,0.434782608695652,0.128693420913872
"COL1A2",0.00127167254101455,-1.09227950350169,0.293478260869565,0.478260869565217,0.226889158117685
"COL3A1",0.00199025577296215,-1.13647381140973,0.239130434782609,0.405797101449275,0.226889158117685
"COL6A3",0.00167987381875441,-1.48552861139252,0.130434782608696,0.27536231884058,0.226889158117685
"GPNMB",0.00180805815137853,-1.17525473200631,0.0688405797101449,0.188405797101449,0.226889158117685
"RNF43",0.00134193527109691,-1.0370643189068,0.0833333333333333,0.217391304347826,0.226889158117685
"FFAR2",0.00232124675069194,-0.984498453179529,0.0760869565217391,0.202898550724638,0.235219670736784
"CNTFR",0.00291146201775458,-0.63899029629324,0.0507246376811594,0.159420289855072,0.265525336019218
"DUSP5",0.00367308139597318,-0.67435888596975,0.452898550724638,0.623188405797101,0.304531839375231
"ACKR1",0.00511437246687446,-1.29737815829809,0.0507246376811594,0.144927536231884,0.310953845985967
"BGN",0.0047806509980323,-0.959112023225392,0.181159420289855,0.333333333333333,0.310953845985967
"CALD1",0.00498099038368189,-1.05192478531777,0.27536231884058,0.449275362318841,0.310953845985967
"HLA-A",0.00409803989516491,0.322254544173922,0.963768115942029,0.927536231884058,0.310953845985967
"SMARCB1",0.00551854904576055,-0.617681433610502,0.123188405797101,0.260869565217391,0.314557295608351
"RARRES2",0.00677020217720483,-0.803913384123281,0.119565217391304,0.246376811594203,0.353683161154683
"TNFSF15",0.00698058870700033,1.65651049783187,0.0978260869565217,0,0.353683161154683
"COL5A3",0.00762046511714452,-0.91864666865415,0.177536231884058,0.333333333333333,0.365782325622937
"LGALS1",0.00814203522507139,-0.891686393647475,0.329710144927536,0.478260869565217,0.371276806263255
"CDH11",0.00946789829907699,-0.701768012279718,0.0615942028985507,0.159420289855072,0.411177297559915
"IGKC",0.0109019833262194,-0.437052287068736,0.202898550724638,0.347826086956522,0.414275366396337
"PCNA",0.0104759509371834,-0.754873463511164,0.195652173913043,0.333333333333333,0.414275366396337
"WNT5B",0.0105872497509746,-0.755942997852683,0.108695652173913,0.231884057971014,0.414275366396337
"OAS3",0.0122884242743151,0.563821732080134,0.713768115942029,0.550724637681159,0.431040113006744
"TLR1",0.011925276044407,0.924867173154773,0.25,0.115942028985507,0.431040113006744
"CPB1",0.0129204178654389,-1.19636886554546,0.0760869565217391,0.173913043478261,0.436423003454825
"P2RX5",0.0137158198778183,-0.685993987953511,0.0398550724637681,0.115942028985507,0.446743847448938
"CUZD1",0.0164940882755988,-0.643493331294829,0.119565217391304,0.231884057971014,0.458386651418083
"IFIH1",0.0168348579482726,0.647103298396609,0.648550724637681,0.565217391304348,0.458386651418083
"IL11",0.0170889760397092,-0.539513114002104,0.22463768115942,0.376811594202899,0.458386651418083
"PTGES",0.015574244950638,-0.160926817646049,0.0652173913043478,0.159420289855072,0.458386651418083
"SLC40A1",0.0158027023748874,-0.686245754733159,0.195652173913043,0.333333333333333,0.458386651418083
"STAT6",0.0169270340279413,-0.52547200112547,0.199275362318841,0.347826086956522,0.458386651418083
"COL6A2",0.0178892927223709,-0.889873087909716,0.155797101449275,0.27536231884058,0.466143856080065
"BRCA1",0.0224129455852332,-0.51502917590965,0.119565217391304,0.231884057971014,0.480413452453959
"CD81",0.0195929766405496,-0.522190558340325,0.181159420289855,0.318840579710145,0.480413452453959
"GPX3",0.0226510358827814,-0.946187709553625,0.0797101449275362,0.173913043478261,0.480413452453959
"IL12A",0.0215917781672204,1.5262289435129,0.072463768115942,0,0.480413452453959
"IL2RB",0.0203155506240333,-0.598493870006665,0.0507246376811594,0.130434782608696,0.480413452453959
"MXRA8",0.022651072867895,-0.275244419283318,0.0797101449275362,0.173913043478261,0.480413452453959
"PTK6",0.0207872883287033,-0.570438578792119,0.177536231884058,0.304347826086957,0.480413452453959
"TNFRSF17",0.022559576099916,-0.807867161510735,0.0434782608695652,0.115942028985507,0.480413452453959
"CD48",0.0237327019237851,1.4251599785128,0.119565217391304,0.0289855072463768,0.491914185329364
"IL3RA",0.0249078913723522,-0.413077996074798,0.0615942028985507,0.144927536231884,0.504799931813005
"PLA2R1",0.0256980328441929,1.00329629775353,0.144927536231884,0.0434782608695652,0.50949143378052
"COL4A2",0.0269994875734458,-0.554880711662641,0.148550724637681,0.260869565217391,0.523904950361331
"SOX4",0.0296131094012519,-0.744795600915828,0.170289855072464,0.289855072463768,0.562649078623786
"ARF1",0.0336241413424457,0.536234175498282,0.583333333333333,0.463768115942029,0.616857355262436
"CD8A",0.0381541647875926,-0.672503509809039,0.0579710144927536,0.130434782608696,0.616857355262436
"CRIP1",0.0348036334353507,-0.458564393199622,0.268115942028986,0.405797101449275,0.616857355262436
"DUSP6",0.0350526966656834,-0.577784677280332,0.134057971014493,0.231884057971014,0.616857355262436
"FASN",0.0399063420619339,-0.871433619077885,0.192028985507246,0.304347826086957,0.616857355262436
"GPBAR1",0.0391379620732507,-0.660018809745892,0.0869565217391304,0.173913043478261,0.616857355262436
"IFIT1",0.0370697867008683,0.992763254606292,0.206521739130435,0.101449275362319,0.616857355262436
"STAT1",0.0391554075515547,0.459119400677871,0.721014492753623,0.63768115942029,0.616857355262436
"TAGLN",0.036181955833755,-0.439909743556049,0.289855072463768,0.420289855072464,0.616857355262436
