pattern,prediction
"(3, 4, 4)",4
"(3, 4, 5)",2
"(3, 4, 6)",3
"(3, 4, 7)",4
"(3, 4, 8)",0
"(3, 4, 9)",4
"(3, 4, 11)",5
"(3, 4, 10)",0
"(3, 4, 12)",3
"(3, 5, 5)",6
"(3, 5, 6)",0
"(3, 5, 7)",3
"(3, 5, 8)",0
"(3, 5, 9)",2
"(3, 5, 11)",3
"(3, 5, 10)",0
"(3, 5, 12)",0
"(3, 6, 6)",2
"(3, 6, 7)",5
"(3, 6, 8)",0
"(3, 6, 9)",3
"(3, 6, 11)",28
"(3, 6, 10)",2
"(3, 6, 12)",4
"(3, 7, 7)",7
"(3, 7, 8)",0
"(3, 7, 9)",12
"(3, 7, 11)",14
"(3, 7, 10)",0
"(3, 7, 12)",0
"(3, 8, 8)",0
"(3, 8, 9)",0
"(3, 8, 11)",0
"(3, 8, 10)",0
"(3, 8, 12)",0
"(3, 9, 9)",1
"(3, 9, 11)",18
"(3, 9, 10)",3
"(3, 9, 12)",0
"(3, 11, 11)",16
"(3, 11, 12)",5
"(3, 10, 11)",6
"(3, 10, 10)",2
"(3, 10, 12)",0
"(3, 12, 12)",0
"(4, 4, 4)",1191
"(4, 4, 5)",10
"(4, 4, 6)",390
"(4, 4, 7)",393
"(4, 4, 8)",2
"(4, 4, 9)",394
"(4, 4, 11)",770
"(4, 4, 10)",82
"(4, 4, 12)",135
"(4, 5, 5)",22
"(4, 5, 6)",1
"(4, 5, 7)",7
"(4, 5, 8)",0
"(4, 5, 9)",1
"(4, 5, 11)",11
"(4, 5, 10)",2
"(4, 5, 12)",1
"(4, 6, 6)",43
"(4, 6, 7)",110
"(4, 6, 8)",0
"(4, 6, 9)",131
"(4, 6, 11)",187
"(4, 6, 10)",28
"(4, 6, 12)",34
"(4, 7, 7)",67
"(4, 7, 8)",0
"(4, 7, 9)",129
"(4, 7, 11)",155
"(4, 7, 10)",29
"(4, 7, 12)",36
"(4, 8, 8)",0
"(4, 8, 9)",0
"(4, 8, 11)",2
"(4, 8, 10)",0
"(4, 8, 12)",0
"(4, 9, 9)",154
"(4, 9, 11)",229
"(4, 9, 10)",31
"(4, 9, 12)",44
"(4, 11, 11)",337
"(4, 11, 12)",87
"(4, 10, 11)",69
"(4, 10, 10)",5
"(4, 10, 12)",5
"(4, 12, 12)",19
"(5, 5, 5)",2966
"(5, 5, 6)",39
"(5, 5, 7)",49
"(5, 5, 8)",0
"(5, 5, 9)",104
"(5, 5, 11)",83
"(5, 5, 10)",9
"(5, 5, 12)",18
"(5, 6, 6)",5
"(5, 6, 7)",5
"(5, 6, 8)",0
"(5, 6, 9)",17
"(5, 6, 11)",7
"(5, 6, 10)",1
"(5, 6, 12)",7
"(5, 7, 7)",10
"(5, 7, 8)",0
"(5, 7, 9)",5
"(5, 7, 11)",13
"(5, 7, 10)",3
"(5, 7, 12)",1
"(5, 8, 8)",0
"(5, 8, 9)",0
"(5, 8, 11)",0
"(5, 8, 10)",0
"(5, 8, 12)",0
"(5, 9, 9)",27
"(5, 9, 11)",20
"(5, 9, 10)",5
"(5, 9, 12)",6
"(5, 11, 11)",17
"(5, 11, 12)",2
"(5, 10, 11)",1
"(5, 10, 10)",1
"(5, 10, 12)",0
"(5, 12, 12)",5
"(6, 6, 6)",16
"(6, 6, 7)",27
"(6, 6, 8)",0
"(6, 6, 9)",65
