triangle_index,vertex_ids,vertex_labels
127,"102,479,475","Malignant,Malignant,Malignant"
128,"103,105,474","Malignant,Malignant,Malignant"
129,"103,461,465","Malignant,Malignant,Malignant"
130,"103,461,474","Malignant,Malignant,Malignant"
131,"103,465,461","Malignant,Malignant,Malignant"
132,"103,474,105","Malignant,Malignant,Malignant"
133,"103,474,461","Malignant,Malignant,Malignant"
134,"104,98,100","Malignant,Malignant,Malignant"
135,"104,98,474","Malignant,Malignant,Malignant"
136,"104,100,98","Malignant,Malignant,Malignant"
137,"104,100,482","Malignant,Malignant,Malignant"
138,"104,105,474","Malignant,Malignant,Malignant"
139,"104,105,482","Malignant,Malignant,Malignant"
140,"104,474,98","Malignant,Malignant,Malignant"
141,"104,474,105","Malignant,Malignant,Malignant"
142,"104,482,100","Malignant,Malignant,Malignant"
143,"104,482,105","Malignant,Malignant,Malignant"
144,"105,103,474","Malignant,Malignant,Malignant"
145,"105,104,474","Malignant,Malignant,Malignant"
146,"105,104,482","Malignant,Malignant,Malignant"
147,"105,106,482","Malignant,Malignant,Malignant"
148,"105,106,493","Malignant,Malignant,Malignant"
149,"105,474,103","Malignant,Malignant,Malignant"
150,"105,474,104","Malignant,Malignant,Malignant"
151,"105,482,104","Malignant,Malignant,Malignant"
152,"105,482,106","Malignant,Malignant,Malignant"
153,"105,493,106","Malignant,Malignant,Malignant"
154,"106,105,482","Malignant,Malignant,Malignant"
155,"106,105,493","Malignant,Malignant,Malignant"
156,"106,107,482","Malignant,Malignant,Malignant"
157,"106,482,105","Malignant,Malignant,Malignant"
158,"106,482,107","Malignant,Malignant,Malignant"
159,"106,493,105","Malignant,Malignant,Malignant"
160,"107,100,110","Malignant,Malignant,Malignant"
161,"107,100,482","Malignant,Malignant,Malignant"
162,"107,106,482","Malignant,Malignant,Malignant"
163,"107,110,100","Malignant,Malignant,Malignant"
164,"107,110,112","Malignant,Malignant,Malignant"
165,"107,112,110","Malignant,Malignant,Malignant"
166,"107,482,100","Malignant,Malignant,Malignant"
167,"107,482,106","Malignant,Malignant,Malignant"
168,"108,116,118","Malignant,Malignant,Malignant"
169,"108,118,116","Malignant,Malignant,Malignant"
170,"110,100,107","Malignant,Malignant,Malignant"
171,"110,107,100","Malignant,Malignant,Malignant"
172,"110,107,112","Malignant,Malignant,Malignant"
173,"110,112,107","Malignant,Malignant,Malignant"
174,"110,112,511","Malignant,Malignant,Malignant"
175,"110,511,112","Malignant,Malignant,Malignant"
176,"112,107,110","Malignant,Malignant,Malignant"
177,"112,110,107","Malignant,Malignant,Malignant"
178,"112,110,511","Malignant,Malignant,Malignant"
179,"112,123,511","Malignant,Malignant,Malignant"
180,"112,511,110","Malignant,Malignant,Malignant"
181,"112,511,123","Malignant,Malignant,Malignant"
182,"116,108,118","Malignant,Malignant,Malignant"
183,"116,118,108","Malignant,Malignant,Malignant"
184,"116,118,505","Malignant,Malignant,Malignant"
185,"116,505,118","Malignant,Malignant,Malignant"
186,"118,108,116","Malignant,Malignant,Malignant"
187,"118,116,108","Malignant,Malignant,Malignant"
188,"118,116,505","Malignant,Malignant,Malignant"
189,"118,505,116","Malignant,Malignant,Malignant"
190,"118,505,509","Malignant,Malignant,Malignant"
191,"118,509,505","Malignant,Malignant,Malignant"
192,"120,123,517","Malignant,Malignant,Malignant"
193,"120,517,123","Malignant,Malignant,Malignant"
194,"123,112,511","Malignant,Malignant,Malignant"
195,"123,120,517","Malignant,Malignant,Malignant"
196,"123,511,112","Malignant,Malignant,Malignant"
197,"123,511,519","Malignant,Malignant,Malignant"
198,"123,517,120","Malignant,Malignant,Malignant"
199,"123,517,519","Malignant,Malignant,Malignant"
200,"123,519,511","Malignant,Malignant,Malignant"
201,"123,519,517","Malignant,Malignant,Malignant"
202,"127,517,519","Malignant,Malignant,Malignant"
203,"127,519,517","Malignant,Malignant,Malignant"
204,"129,132,557","Malignant,Malignant,Malignant"
205,"129,547,557","Malignant,Malignant,Malignant"
206,"129,557,132","Malignant,Malignant,Malignant"
207,"129,557,547","Malignant,Malignant,Malignant"
208,"132,129,557","Malignant,Malignant,Malignant"
209,"132,133,134","Malignant,Malignant,Malignant"
210,"132,134,133","Malignant,Malignant,Malignant"
211,"132,134,557","Malignant,Malignant,Malignant"
212,"132,557,129","Malignant,Malignant,Malignant"
213,"132,557,134","Malignant,Malignant,Malignant"
214,"133,132,134","Malignant,Malignant,Malignant"
215,"133,134,132","Malignant,Malignant,Malignant"
216,"133,134,138","Malignant,Malignant,Malignant"
217,"133,138,134","Malignant,Malignant,Malignant"
218,"133,138,558","Malignant,Malignant,Malignant"
219,"133,554,558","Malignant,Malignant,Malignant"
220,"133,558,138","Malignant,Malignant,Malignant"
221,"133,558,554","Malignant,Malignant,Malignant"
222,"134,132,133","Malignant,Malignant,Malignant"
223,"134,132,557","Malignant,Malignant,Malignant"
224,"134,133,132","Malignant,Malignant,Malignant"
225,"134,133,138","Malignant,Malignant,Malignant"
226,"134,136,140","Malignant,Malignant,Malignant"
227,"134,136,557","Malignant,Malignant,Malignant"
228,"134,138,133","Malignant,Malignant,Malignant"
229,"134,138,575","Malignant,Malignant,Malignant"
230,"134,140,136","Malignant,Malignant,Malignant"
231,"134,140,575","Malignant,Malignant,Malignant"
232,"134,557,132","Malignant,Malignant,Malignant"
233,"134,557,136","Malignant,Malignant,Malignant"
234,"134,575,138","Malignant,Malignant,Malignant"
235,"134,575,140","Malignant,Malignant,Malignant"
236,"136,134,140","Malignant,Malignant,Malignant"
237,"136,134,557","Malignant,Malignant,Malignant"
238,"136,139,140","Malignant,Malignant,Malignant"
239,"136,139,547","Malignant,Malignant,Malignant"
240,"136,140,134","Malignant,Malignant,Malignant"
241,"136,140,139","Malignant,Malignant,Malignant"
242,"136,547,139","Malignant,Malignant,Malignant"
243,"136,547,557","Malignant,Malignant,Malignant"
244,"136,557,134","Malignant,Malignant,Malignant"
245,"136,557,547","Malignant,Malignant,Malignant"
246,"138,133,134","Malignant,Malignant,Malignant"
247,"138,133,558","Malignant,Malignant,Malignant"
248,"138,134,133","Malignant,Malignant,Malignant"
249,"138,134,575","Malignant,Malignant,Malignant"
250,"138,558,133","Malignant,Malignant,Malignant"
251,"138,575,134","Malignant,Malignant,Malignant"
252,"139,136,140","Malignant,Malignant,Malignant"
253,"139,136,547","Malignant,Malignant,Malignant"
254,"139,140,136","Malignant,Malignant,Malignant"
255,"139,140,571","Malignant,Malignant,Malignant"
256,"139,547,136","Malignant,Malignant,Malignant"
257,"139,569,571","Malignant,Malignant,Malignant"
258,"139,571,140","Malignant,Malignant,Malignant"
259,"139,571,569","Malignant,Malignant,Malignant"
260,"140,134,136","Malignant,Malignant,Malignant"
261,"140,134,575","Malignant,Malignant,Malignant"
262,"140,136,134","Malignant,Malignant,Malignant"
263,"140,136,139","Malignant,Malignant,Malignant"
264,"140,139,136","Malignant,Malignant,Malignant"
265,"140,139,571","Malignant,Malignant,Malignant"
266,"140,571,139","Malignant,Malignant,Malignant"
267,"140,571,583","Malignant,Malignant,Malignant"
268,"140,575,134","Malignant,Malignant,Malignant"
269,"140,575,583","Malignant,Malignant,Malignant"
270,"140,583,571","Malignant,Malignant,Malignant"
271,"140,583,575","Malignant,Malignant,Malignant"
272,"157,167,175","Malignant,Malignant,Malignant"
273,"157,175,167","Malignant,Malignant,Malignant"
274,"167,157,175","Malignant,Malignant,Malignant"
275,"167,171,175","Malignant,Malignant,Malignant"
276,"167,175,157","Malignant,Malignant,Malignant"
277,"167,175,171","Malignant,Malignant,Malignant"
278,"171,167,175","Malignant,Malignant,Malignant"
279,"171,175,167","Malignant,Malignant,Malignant"
280,"175,157,167","Malignant,Malignant,Malignant"
281,"175,167,157","Malignant,Malignant,Malignant"
282,"175,167,171","Malignant,Malignant,Malignant"
283,"175,171,167","Malignant,Malignant,Malignant"
284,"251,31,35","Malignant,Malignant,Malignant"
285,"251,35,31","Malignant,Malignant,Malignant"
286,"279,35,280","Malignant,Malignant,Malignant"
287,"279,280,35","Malignant,Malignant,Malignant"
288,"279,280,290","Malignant,Malignant,Malignant"
289,"279,290,280","Malignant,Malignant,Malignant"
290,"280,35,279","Malignant,Malignant,Malignant"
