"gene","p_val","avg_log2FC","pct.1","pct.2","p_adj"
"COL3A1",0.000449560859072895,2.87770887437914,0.307692307692308,0.0804597701149425,0.212417505911943
"ITGA3",0.000276760938259633,-1.55154286516121,0.230769230769231,0.597701149425287,0.212417505911943
"ACKR4",0.00151723492523204,1.7745370622154,0.256410256410256,0.0574712643678161,0.477929001448091
"B2M",0.0103391564655045,0.816821611529944,0.666666666666667,0.574712643678161,0.600522479217204
"FGF12",0.00526307876630619,2.7840568630927,0.153846153846154,0.0229885057471264,0.600522479217204
"GDF10",0.00614839570854746,-2.67802688742609,0,0.172413793103448,0.600522479217204
"IL16",0.00736998144584094,-2.23461264630339,0.0256410256410256,0.218390804597701,0.600522479217204
"IL17A",0.011438523413661,-2.44251849690923,0,0.149425287356322,0.600522479217204
"KLRB1",0.011438523413661,-2.41667445495191,0,0.149425287356322,0.600522479217204
"KRT17",0.00823335935641547,-0.469347183167783,0.846153846153846,0.931034482758621,0.600522479217204
"MZB1",0.011438523413661,-2.66897782482307,0,0.149425287356322,0.600522479217204
"NEAT1",0.0053116502761321,-0.730235063603603,0.743589743589744,0.873563218390805,0.600522479217204
"PTGDS",0.0044447136033202,-1.24942741925097,0.179487179487179,0.448275862068966,0.600522479217204
"SELL",0.00839749094906408,-3.1377394349343,0,0.160919540229885,0.600522479217204
"ST6GALNAC3",0.00712930434746696,1.04803974278153,0.179487179487179,0.0344827586206897,0.600522479217204
"TNFRSF14",0.00744038395417583,-0.497517996746808,0.0769230769230769,0.298850574712644,0.600522479217204
"TNFRSF21",0.00903829576724015,-2.12661480040298,0.0769230769230769,0.275862068965517,0.600522479217204
"ZFP36",0.00600601714633353,-0.78716141505495,0.564102564102564,0.770114942528736,0.600522479217204
"IL15RA",0.0122637233194557,1.47670950669147,0.333333333333333,0.137931034482759,0.609958870362399
"COL6A1",0.0187240357609936,-1.25376235423897,0.333333333333333,0.517241379310345,0.655341251634777
"IRF4",0.0175180585822229,1.87211093991996,0.153846153846154,0.0344827586206897,0.655341251634777
"ITGAE",0.0168238537000811,-2.25434496722364,0.0256410256410256,0.183908045977011,0.655341251634777
"KRT16",0.017662321957796,-0.751130950823479,0.256410256410256,0.505747126436782,0.655341251634777
"LINC02446",0.0184202098272549,-1.29530381730015,0.0512820512820513,0.229885057471264,0.655341251634777
"PRF1",0.016964814618898,1.82509300774213,0.153846153846154,0.0344827586206897,0.655341251634777
"SFN",0.0140520067720953,-0.897470394917112,0.41025641025641,0.620689655172414,0.655341251634777
"VHL",0.0171294219299432,-0.96427455339042,0.153846153846154,0.379310344827586,0.655341251634777
"NPR1",0.0210798914925992,-2.26109877114982,0,0.126436781609195,0.686913705534699
"ROR1",0.0210798914925992,-2.1668217508513,0,0.126436781609195,0.686913705534699
"ADGRB3",0.0522011346566865,-2.15834670880581,0,0.0919540229885057,0.789157800185861
"BST2",0.0288364552778846,-1.30261351800984,0.153846153846154,0.333333333333333,0.789157800185861
"C1QA",0.0601632193283345,1.00349017063318,0.333333333333333,0.195402298850575,0.789157800185861
"CCL15",0.0515433211402029,-0.310297788157391,0.0512820512820513,0.183908045977011,0.789157800185861
"CCL19",0.0626309794234666,-1.21899190849229,0.102564102564103,0.252873563218391,0.789157800185861
"CCL21",0.0415029127847226,-1.23418810742104,0.128205128205128,0.298850574712644,0.789157800185861
"CD33",0.0522011346566865,-2.75600137433987,0,0.0919540229885057,0.789157800185861
"CD40LG",0.0602085522146296,-1.70157662216409,0.0256410256410256,0.137931034482759,0.789157800185861
"CD58",0.0287053859375933,-1.31131102951097,0.128205128205128,0.310344827586207,0.789157800185861
"CD68",0.0575496408861446,-1.34860812043281,0.102564102564103,0.252873563218391,0.789157800185861
"CLEC10A",0.0375697116864988,-2.33307407363381,0.0256410256410256,0.149425287356322,0.789157800185861
"CLOCK",0.0384677073364212,-2.05255013325253,0.0256410256410256,0.149425287356322,0.789157800185861
"CTNNB1",0.0444195250085527,-1.83192121058522,0.0769230769230769,0.218390804597701,0.789157800185861
"DDIT3",0.0558455155136066,-1.4317113159121,0.0512820512820513,0.183908045977011,0.789157800185861
"DLL1",0.062988718025375,-1.19699284893305,0.0256410256410256,0.137931034482759,0.789157800185861
"EPHA2",0.0567318788943039,0.0597135318791157,0.230769230769231,0.471264367816092,0.789157800185861
"GSN",0.0643017466818109,0.958301756626962,0.384615384615385,0.241379310344828,0.789157800185861
"HDAC4",0.0442406876030784,-2.01374421224835,0.0256410256410256,0.149425287356322,0.789157800185861
"HLA-DRA",0.0496185740452446,1.07869817033156,0.358974358974359,0.206896551724138,0.789157800185861
"IFNGR2",0.0350228515300904,1.40938607406597,0.435897435897436,0.310344827586207,0.789157800185861
"IFNL2",0.0264519483358405,-1.50688953855412,0.0512820512820513,0.218390804597701,0.789157800185861
"IGF2",0.0512672649896089,1.58440117071182,0.179487179487179,0.0689655172413793,0.789157800185861
"IL10RB",0.0496867721393294,-1.74595923336533,0.102564102564103,0.241379310344828,0.789157800185861
"IL12B",0.0501703449917641,1.37992198325612,0.282051282051282,0.137931034482759,0.789157800185861
"IL1B",0.0433167527104016,2.12941463082017,0.230769230769231,0.103448275862069,0.789157800185861
"IL2RA",0.0394261116905851,-1.44862144971828,0.0512820512820513,0.195402298850575,0.789157800185861
"IL6R",0.0615856485152927,-1.35959681829949,0.0256410256410256,0.137931034482759,0.789157800185861
"KDR",0.0372531810022099,-0.798541284269286,0.0256410256410256,0.160919540229885,0.789157800185861
"KRT5",0.0480761816189584,-0.415237572524804,0.58974358974359,0.816091954022989,0.789157800185861
