triangle_index,vertex_ids,vertex_labels
144,"222,203,205","CAF,CAF,CAF"
145,"222,203,224","CAF,CAF,CAF"
146,"222,205,203","CAF,CAF,CAF"
147,"222,205,209","CAF,CAF,CAF"
148,"222,209,205","CAF,CAF,CAF"
149,"222,224,203","CAF,CAF,CAF"
150,"224,203,204","CAF,CAF,CAF"
151,"224,203,222","CAF,CAF,CAF"
152,"224,204,203","CAF,CAF,CAF"
153,"224,204,225","CAF,CAF,CAF"
154,"224,222,203","CAF,CAF,CAF"
155,"224,225,204","CAF,CAF,CAF"
156,"225,202,204","CAF,CAF,CAF"
157,"225,204,202","CAF,CAF,CAF"
158,"225,204,224","CAF,CAF,CAF"
159,"225,224,204","CAF,CAF,CAF"
160,"227,232,244","CAF,CAF,CAF"
161,"227,244,232","CAF,CAF,CAF"
162,"230,213,221","CAF,CAF,CAF"
163,"230,221,213","CAF,CAF,CAF"
164,"230,253,260","CAF,CAF,CAF"
165,"230,260,253","CAF,CAF,CAF"
166,"232,227,244","CAF,CAF,CAF"
167,"232,244,227","CAF,CAF,CAF"
168,"238,242,265","CAF,CAF,CAF"
169,"238,244,256","CAF,CAF,CAF"
170,"238,256,244","CAF,CAF,CAF"
171,"238,256,265","CAF,CAF,CAF"
172,"238,265,242","CAF,CAF,CAF"
173,"238,265,256","CAF,CAF,CAF"
174,"239,216,250","CAF,CAF,CAF"
175,"239,250,216","CAF,CAF,CAF"
176,"239,250,261","CAF,CAF,CAF"
177,"239,261,250","CAF,CAF,CAF"
178,"240,32,243","CAF,CAF,CAF"
179,"240,32,250","CAF,CAF,CAF"
180,"240,216,250","CAF,CAF,CAF"
181,"240,243,32","CAF,CAF,CAF"
182,"240,250,32","CAF,CAF,CAF"
183,"240,250,216","CAF,CAF,CAF"
184,"242,238,265","CAF,CAF,CAF"
185,"242,265,238","CAF,CAF,CAF"
186,"242,265,271","CAF,CAF,CAF"
187,"242,271,265","CAF,CAF,CAF"
188,"243,32,240","CAF,CAF,CAF"
189,"243,32,248","CAF,CAF,CAF"
190,"243,240,32","CAF,CAF,CAF"
191,"243,248,32","CAF,CAF,CAF"
192,"244,227,232","CAF,CAF,CAF"
193,"244,232,227","CAF,CAF,CAF"
